algo
ayudar
acta
atencion
ademas
animo
ayer
apunte
afirmar
ahora

boleta
bien
bueno

copia
caja
calificacion
constancia

documento
dinero
deseo
dormir
dia

estar
ella
estudiar

gracias

hola
haber

imprimir
igual
imitar
inscribir

llegar
llevar
levantar

mama

necesitar
negar
nacer

poder
pedir
pagar
pregunta
padre
primero

recoger

segundo
semestre
suficiente

tener
tecnica
tres
tarea
tambien

union
unir
